394,1.6208,-45.4831,0.1242,0
397,1.6136,-44.6284,0.0889,2455
400,1.6065,-44.0804,0.1273,2544
403,1.5994,-43.2941,0.1084,2500
406,1.5851,-42.1831,0.1817,0
408,1.5851,-41.8349,0.0979,0
411,1.5779,-41.0860,0.0880,0
414,1.5637,-40.4010,0.2639,0
417,1.5565,-39.4826,0.2132,0
419,1.5494,-38.9201,0.2481,2823
422,1.5494,-38.3776,0.1176,2521
425,1.5422,-37.7680,0.1412,2576
428,1.5351,-37.3723,0.2163,2750
431,1.5280,-36.7328,0.2327,2788
434,1.5280,-36.4913,0.1746,2653
437,1.5208,-36.0005,0.2268,2774
440,1.5137,-35.4096,0.2550,2839
443,1.5137,-35.1791,0.1995,2711
446,1.5137,-34.9567,0.1460,2587
449,1.5065,-34.6486,0.2422,2809
452,1.5065,-34.3514,0.1706,2644
455,1.5065,-34.2437,0.1447,2584
458,1.5065,-34.2193,0.1388,2571
461,1.5065,-34.1958,0.1332,2557
464,1.5065,-34.1905,0.1319,2555
467,1.5065,-34.1854,0.1307,2552
470,1.5065,-34.1835,0.1302,2551
473,1.5065,-34.1831,0.1301,2550
476,1.5065,-34.1827,0.1300,2550
479,1.5065,-34.1826,0.1300,2550
482,1.5065,-34.1825,0.1300,2550
485,1.5137,-34.5955,0.0590,2386
488,1.5137,-34.6889,0.0815,2438
491,1.5137,-34.7790,0.1032,2488
494,1.5208,-35.0572,-0.0002,0
497,1.5208,-35.3255,0.0644,2398
500,1.5208,-35.4227,0.0878,2453
503,1.5280,-35.7025,-0.0152,0
506,1.5280,-35.9724,0.0497,2364
509,1.5351,-36.2912,-0.0439,0
511,1.5351,-36.5987,0.0301,2319
514,1.5351,-36.6683,0.0469,2358
517,1.5422,-36.9932,-0.0453,0
520,1.5422,-37.2662,0.0204,0
523,1.5494,-37.5857,-0.0730,2418
526,1.5494,-37.8939,0.0012,0
529,1.5494,-37.9636,0.0179,0
532,1.5422,-37.6179,0.1051,2492
535,1.5494,-37.7975,-0.0221,0
537,1.5494,-37.9707,0.0196,2295
540,1.5565,-38.4464,-0.0362,0
543,1.5565,-38.5541,-0.0103,0
546,1.5637,-39.0708,-0.0563,0
549,1.5637,-39.1878,-0.0281,0
552,1.5637,-39.3005,-0.0010,0
554,1.5637,-39.3261,0.0051,0
557,1.5637,-39.3507,0.0111,0
560,1.5637,-39.3596,0.0132,0
563,1.5708,-39.6194,-0.0946,0
565,1.5708,-39.8700,-0.0343,0
568,1.5708,-39.9267,-0.0206,0
571,1.5779,-40.2391,-0.1158,0
574,1.5779,-40.4067,-0.0755,0
577,1.5779,-40.5683,-0.0366,0
580,1.5779,-40.6049,-0.0278,0
582,1.5779,-40.6402,-0.0193,0
585,1.5779,-40.6529,-0.0162,0
588,1.5851,-40.9136,-0.1238,0
591,1.5851,-41.1650,-0.0633,0
594,1.5851,-41.2219,-0.0496,0
