118580,1.5565,0.004�
451,1.1638,0.0477,2360
453,1.1638,0.0477,2360
455,1.1710,0.0346,2329
457,1.1781,0.0230,2303
459,1.1781,0.0392,2340
461,1.1781,0.0392,2340
464,1.1852,0.0266,2311
466,1.1924,0.0155,2285
468,1.1995,0.0056,2262
470,1.1995,0.0056,2262
472,1.2067,-0.0033,2257
474,1.2138,-0.0112,0
476,1.2138,-0.0112,0
478,1.2138,0.0081,2268
481,1.2138,0.0247,0
483,1.2138,0.0247,0
484,1.2209,0.0124,2278
487,1.2209,0.0280,2314
489,1.2281,0.0149,2284
491,1.2281,0.0149,2284
493,1.2281,0.0298,2318
495,1.2352,0.0161,2287
497,1.2352,0.0161,2287
500,1.2424,0.0039,2259
502,1.2495,-0.0068,2265
504,1.2566,-0.0163,0
506,1.2566,-0.0163,0
508,1.2566,0.0016,2253
510,1.2566,0.0170,0
512,1.2566,0.0170,0
514,1.2566,0.0301,2319
516,1.2638,0.0150,2284
518,1.2638,0.0150,2284
520,1.2709,0.0016,2253
523,1.2781,-0.0102,2273
525,1.2852,-0.0207,0
527,1.2852,-0.0207,0
529,1.2852,-0.0035,2258
531,1.2852,0.0111,2275
533,1.2852,0.0111,2275
535,1.2852,0.0237,0
537,1.2923,0.0080,2268
540,1.2923,0.0080,2268
542,1.2923,0.0207,2297
544,1.2995,0.0051,2261
546,1.3066,-0.0086,2269
548,1.3066,-0.0086,2269
551,1.3066,0.0057,0
552,1.3138,-0.0085,0
554,1.3138,-0.0085,0
556,1.3138,0.0055,0
558,1.3138,0.0175,0
560,1.3138,0.0175,0
562,1.3138,0.0278,2314
564,1.3209,0.0101,2273
567,1.3209,0.0101,2273
569,1.3209,0.0210,2298
571,1.3280,0.0040,2259
573,1.3352,-0.0110,2275
575,1.3352,-0.0110,2275
578,1.3423,-0.0242,0
580,1.3423,-0.0094,2271
582,1.3423,0.0033,2257
584,1.3423,0.0033,2257
586,1.3423,0.0142,0
588,1.3423,0.0235,2304
590,1.3423,0.0235,2304
592,1.3423,0.0315,2322
594,1.3495,0.0118,2277
597,1.3495,0.0118,2277
599,1.3495,0.0211,2298
601,1.3566,0.0026,2256
603,1.3637,-0.0136,2281
605,1.3637,-0.0136,2281
608,1.3637,-0.0014,0
610,1.3709,-0.0174,2290
612,1.3709,-0.0049,2261
614,1.3709,-0.0049,2261
616,1.3637,0.0322,2324
619,1.3637,0.0378,0
620,1.3637,0.0378,0
622,1.3709,0.0162,2287
625,1.3709,0.0238,2305
627,1.3709,0.0238,2305
629,1.3780,0.0039,2258
631,1.3780,0.0129,2279
633,1.3852,-0.0059,2263
635,1.3852,-0.0059,2263
638,1.3923,-0.0223,0
640,1.3923,-0.0102,2273
642,1.3852,0.0266,2311
644,1.3852,0.0266,2311
646,1.3852,0.0320,0
648,1.3852,0.0366,2334
650,1.3852,0.0366,2334
653,1.3852,0.0406,2343
655,1.3923,0.0175,2290
657,1.3994,-0.0026,2256
